"date","shours_u","shours_a","qhours_u","qhours_a"
1995-09-01,16775028110.247,16717676594.1933,44388248216.0095,44262182504.4359
1995-10-01,16784028377.9137,16728413127.0182,44733755090.7663,44302033960.1932
1995-11-01,16702245725.9098,16739149659.843,44422105759.2587,44341885415.9505
1995-12-01,16677140206.882,16756628492.9718,44331226364.0079,44396838737.1203
1996-01-01,16472885414.1231,16774107326.1005,43913387331.4187,44451792058.2901
1996-02-01,16539702152.8022,16792214838.5002,44272806363.6685,44502244734.1091
1996-03-01,16657108066.1269,16810322350.8999,44466078047.8164,44552697409.928
1996-04-01,16706550346.8776,16827346343.3505,44409951359.0092,44598199955.0911
1996-05-01,16814967011.042,16844370335.8011,44439976243.8387,44643702500.2542
1996-06-01,17099592907.8286,16864376677.7099,44897522775.8739,44699169497.2769
1996-07-01,17198587728.614,16884383019.6188,45013806397.0226,44754636494.2996
1996-08-01,17220535013.1919,16909382306.2696,45040348648.8199,44823829356.7484
1996-09-01,16991733108.974,16934381592.9203,45019087930.7708,44893022219.1972
1996-10-01,17019495506.014,16963880255.1185,45409203925.5842,44977482795.0111
1996-11-01,16956474983.3833,16993378917.3166,45142163714.1333,45061943370.8251
1996-12-01,16950494336.758,17029982622.8478,45098820043.8899,45164432417.0023
1997-01-01,16765364416.4016,17066586328.379,44728516736.3079,45266921463.1794
1997-02-01,16856746661.613,17109259347.311,45156448121.6675,45385886492.1081
1997-03-01,16998718081.47,17151932366.243,45418232158.9252,45504851521.0368
1997-04-01,17074922236.0744,17195718232.5474,45438565040.7823,45626813636.8642
1997-05-01,17210100774.0927,17239504098.8518,45545049496.2761,45748775752.6916
1997-06-01,17514280588.2363,17279064358.1177,46069807718.9004,45871454440.3035
1997-07-01,17632829326.3787,17318624617.3835,46253303030.6384,45994133127.9154
1997-08-01,17665104021.3239,17353951314.4016,46333363315.5285,46116844023.457
1997-09-01,17446629527.4733,17389278011.4197,46365620630.5724,46239554918.9987
1997-10-01,17477851611.0734,17422236360.1779,46789935337.7294,46358214207.1563
1997-11-01,17418290775.0029,17455194708.9362,46557093838.6221,46476873495.3139
1997-12-01,17406590217.7996,17486078503.8894,46518454158.696,46584066531.8084
1998-01-01,17215740386.8653,17516962298.8427,46152854841.4315,46691259568.303
1998-02-01,17291909202.4032,17544421888.1012,46564217501.6516,46793655872.0922
1998-03-01,17418667192.5868,17571881477.3597,46809432813.7697,46896052175.8813
1998-04-01,17478869950.6906,17599665947.1636,46817677821.1434,47005926417.2253
1998-05-01,17598047092.2083,17627450416.9674,46912074402.1538,47115800658.5693
1998-06-01,17893711574.9077,17658495344.789,47427239145.488,47228885866.8911
1998-07-01,18003744981.6058,17689540272.6107,47601140977.9359,47341971075.2129
1998-08-01,18033960208.9427,17722807502.0205,47669078234.6289,47452558942.5574
1998-09-01,17813426247.4839,17756074731.4302,47689212521.4757,47563146809.902
1998-10-01,17846450230.6659,17790834979.7704,48126393176.2939,47694672045.7208
1998-11-01,17788691294.1773,17825595228.1105,47906417624.8479,47826197281.5396
1998-12-01,17776891380.6873,17856379666.7771,47884558710.7191,47950171083.8315
1999-01-01,17585942193.4661,17887164105.4436,47535740159.2519,48074144886.1234
1999-02-01,17659221488.3285,17911734174.0265,47938246821.5074,48167685191.9479
1999-03-01,17783089957.8365,17936304242.6095,48174606135.6608,48261225497.7724
1999-04-01,17838447351.0551,17959243347.528,48148889068.4867,48337137664.5686
1999-05-01,17952779127.6875,17982182452.4466,48209323574.9492,48413049831.3647
1999-06-01,18249391522.1825,18014175292.0639,48706352850.1741,48507999571.5772
1999-07-01,18360372840.6763,18046168131.6812,48862119214.5127,48602949311.7897
1999-08-01,18405420316.2934,18094267609.3711,48951246934.9061,48734727642.8346
1999-09-01,18199718603.1148,18142367087.0611,48992571685.4532,48866505973.8796
1999-10-01,18258557532.181,18202942281.2854,49450880313.382,49019159182.809
1999-11-01,18226613541.5765,18263517475.5097,49252032735.0466,49171812391.7384
1999-12-01,18245827177.6526,18325315463.7424,49272155634.2706,49337768007.383
2000-01-01,18085891539.9977,18387113451.9751,48965318896.1562,49503723623.0277
2000-02-01,18185479230.5054,18437991916.2035,49426604652.6933,49656043023.1339
2000-03-01,18335656095.6588,18488870380.4318,49721743061.1285,49808362423.2401
2000-04-01,18405023705.1677,18525819701.6406,49733398631.3172,49921647227.3991
2000-05-01,18533365698.0904,18562769022.8495,49831205775.1426,50034932031.5581
2000-06-01,18817762868.2244,18582546638.1058,50324771060.1003,50126417781.5033
2000-07-01,18916528962.3572,18602324253.3621,50477073434.1715,50217903531.4485
2000-08-01,18920961217.5084,18609808510.5862,50513155796.8662,50296636504.7947
2000-09-01,18674644283.8639,18617292767.8103,50501435189.7146,50375369478.1409
2000-10-01,18676473258.9504,18620858008.0548,50870846754.725,50439125624.1519
2000-11-01,18587519314.3662,18624423248.2994,50583102113.4711,50502881770.1629
2000-12-01,18544985433.9139,18624473720.0037,50465939181.2754,50531551554.3878
2001-01-01,18323302279.7305,18624524191.7079,50021816611.7413,50560221338.6128
2001-02-01,18361651500.7751,18614164186.4731,50328683967.2999,50558122337.7404
2001-03-01,18450589896.4653,18603804181.2383,50469403974.7565,50556023336.8681
2001-04-01,18458712318.0574,18579508314.5303,50338870536.0992,50527119132.1811
2001-05-01,18525809123.0632,18555212447.8223,50294488671.0787,50498214927.4942
2001-06-01,18759739802.6801,18524523572.5614,50649839047.2799,50451485768.683
2001-07-01,18808039406.2957,18493834697.3006,50663926512.5948,50404756609.8718
2001-08-01,18779780147.0058,18468627440.0835,50598305395.5192,50381786103.4477
2001-09-01,18500771698.9201,18443420182.8664,50484881308.5973,50358815597.0236
2001-10-01,18488477253.0012,18432862002.1057,50819445706.2023,50387724575.6292
2001-11-01,18385399887.4117,18422303821.3449,50496853897.5431,50416633554.2349
2001-12-01,18341033781.8211,18420522067.9109,50399949474.6656,50465561847.778
2002-01-01,18117518402.4994,18418740314.4769,49976085414.4496,50514490141.3211
2002-02-01,18167460009.1165,18419972694.8146,50330758037.0495,50560196407.49
2002-03-01,18267990790.3793,18421205075.1523,50519283311.5474,50605902673.659
2002-04-01,18300619667.7656,18421415664.2385,50435490285.513,50623738881.5949
2002-05-01,18392222928.5657,18421626253.3248,50437848833.1152,50641575089.5307
2002-06-01,18651150670.0554,18415934439.9368,50804398905.1403,50606045626.5434
2002-07-01,18724447335.5439,18410242626.5488,50829686066.279,50570516163.556
2002-08-01,18710245536.285,18399092829.3628,50726241045.182,50509721753.1105
2002-09-01,18445294548.2304,18387943032.1768,50574993054.2387,50448927342.665
2002-10-01,18433097387.3323,18377482136.4368,50838660841.1559,50406939710.5829
2002-11-01,18330117306.7635,18367021240.6968,50445172421.8089,50364952078.5007
2002-12-01,18278182363.0678,18357670649.1576,50275020347.5452,50340632720.6576
2003-01-01,18047098145.6409,18348320057.6183,49777908635.943,50316313362.8144
2003-02-01,18086365720.5222,18338878406.2202,50071850436.7286,50301288807.1692
2003-03-01,18176222470.0491,18329436754.8221,50199644889.4123,50286264251.5239
2003-04-01,18203388970.0551,18324184966.5281,50110993808.3319,50299242404.4138
2003-05-01,18289529853.4749,18318933178.234,50108494300.8882,50312220557.3037
2003-06-01,18561791112.7635,18326574882.6448,50562722309.7052,50364369031.1083
2003-07-01,18648421296.0508,18334216587.0557,50675687407.6358,50416517504.9128
2003-08-01,18660279566.9298,18349126860.0075,50685663383.2023,50469144091.1308
2003-09-01,18421388649.0131,18364037132.9594,50647836388.9224,50521770677.3487
2003-10-01,18439476862.6586,18383861611.7631,51009098462.07,50577377331.4969
2003-11-01,18366782156.6336,18403686090.5668,50713204328.9533,50632983985.6451
2003-12-01,18340614312.4837,18420102598.5735,50623735274.8444,50689347647.9567
2004-01-01,18135297194.6027,18436519106.5802,50207306583.3969,50745711310.2684
2004-02-01,18193073311.5513,18445585997.2493,50556934531.6586,50786372902.0992
2004-03-01,18301438603.1455,18454652887.9185,50740415131.8183,50827034493.9299
2004-04-01,18341301806.0044,18462097802.4773,50676032553.279,50864281149.3609
2004-05-01,18440139392.277,18469542717.0361,50697801548.3763,50901527804.7918
2004-06-01,18715611171.9942,18480394941.8755,51155947042.0377,50957593763.4408
2004-07-01,18805451875.7101,18491247166.715,51272829624.8127,51013659722.0897
2004-08-01,18814740212.0111,18503587505.0888,51290368770.3714,51073849478.2999
2004-09-01,18573279359.5163,18515927843.4626,51260104946.0838,51134039234.5102
2004-10-01,18592161395.7677,18536546144.8722,51630755085.4134,51199033954.8404
2004-11-01,18520260512.3485,18557164446.2818,51344249018.4788,51264028675.1706
2004-12-01,18513677339.0764,18593165625.1662,51288818168.4516,51354430541.564
2005-01-01,18327944892.0732,18629166804.0507,50906427681.0859,51444832407.9574
2005-02-01,18418991874.3473,18671504560.0453,51333117392.5117,51562555762.9522
2005-03-01,18560628031.2671,18713842316.04,51593659755.8354,51680279117.947
2005-04-01,18633684717.3467,18754480713.8196,51611211228.1082,51799459824.1901
2005-05-01,18765715786.8401,18795119111.5992,51714914274.0176,51918640530.4331
2005-06-01,19070042883.7924,18834826653.6738,52223878690.6051,52025525412.0082
2005-07-01,19188738904.7434,18874534195.7483,52391580196.3062,52132410293.5832
2005-08-01,19233203496.7085,18922050789.7863,52477206834.7805,52260687542.709
2005-09-01,19026918899.8779,18969567383.8242,52515030503.4085,52388964791.8349
2005-10-01,19076972831.8682,19021357580.9727,52970833363.9624,52539112233.3893
2005-11-01,19036243844.1879,19073147778.1211,52769480018.252,52689259674.9437
2005-12-01,19040567099.7326,19120055385.8224,52756347795.2561,52821960168.3685
2006-01-01,18865741081.5462,19166962993.5236,52416255934.9217,52954660661.7932
2006-02-01,18954770646.7734,19207283332.4715,52843956151.5414,53073394521.9819
2006-03-01,19094389386.6464,19247603671.4193,53105509020.0591,53192128382.1707
2006-04-01,19165777331.8689,19286573328.3418,53130830810.4941,53319079406.576
2006-05-01,19296139660.5051,19325542985.2642,53242304174.5658,53446030430.9813
2006-06-01,19601652319.4229,19366436089.3043,53802887543.4944,53604534264.8975
2006-07-01,19721533902.3395,19407329193.3444,54022208001.5367,53763038098.8137
2006-08-01,19758914809.4814,19447762102.5592,54137894784.2335,53921375492.1621
2006-09-01,19545546527.8276,19488195011.774,54205778597.0841,54079712885.5105
2006-10-01,19577926218.1324,19522310967.2369,54644936504.0425,54213215373.4694
2006-11-01,19519522988.7666,19556426922.6999,54426938204.7366,54346717861.4283
2006-12-01,19502889604.6276,19582377890.7174,54392567331.4043,54458179704.5167
2007-01-01,19307106946.7574,19608328858.7349,54031236820.7336,54569641547.6051
2007-02-01,19370843498.4988,19623356184.1968,54429878296.2818,54659316666.7224
2007-03-01,19485169224.8858,19638383509.6588,54662372423.7281,54748991785.8397
2007-04-01,19523860291.7218,19644656288.1947,54606538703.1135,54794787299.1954
2007-05-01,19621525741.9716,19650929066.7307,54636856556.1356,54840582812.5511
2007-06-01,19889799089.7301,19654582859.6115,55062913236.6976,54864559958.1007
2007-07-01,19972441361.4874,19658236652.4923,55147707006.3733,54888537103.6503
2007-08-01,19972113669.8255,19660960962.9032,55140433700.4788,54923914408.4073
2007-09-01,19721036789.3678,19663685273.3142,55085357424.7381,54959291713.1644
2007-10-01,19723728262.5965,19668113011.701,55456628150.397,55024907019.8239
2007-11-01,19635636816.1546,19672540750.0879,55170742669.7916,55090522326.4834
2007-12-01,19592232122.7695,19671720408.8593,55075039454.4978,55140651827.6102
2008-01-01,19369678155.6532,19670900067.6306,54652376601.8656,55190781328.7371
2008-02-01,19408812260.7726,19661324946.4706,54997320727.8351,55226759098.2757
2008-03-01,19498535540.5377,19651749825.3106,55176117505.7027,55262736867.8143
2008-04-01,19511187533.0401,19631983529.513,55100768429.1047,55289017025.1866
2008-05-01,19582813908.9563,19612217233.7154,55111570926.1434,55315297182.5589
2008-06-01,19809929016.2951,19574712786.1765,55489798636.4752,55291445357.8783
2008-07-01,19851413047.6327,19537208338.6376,55526763435.9207,55267593533.1977
2008-08-01,19784055514.9533,19472902808.031,55375523273.0169,55159003980.9454
2008-09-01,19465948793.4782,19408597277.4245,55176480140.2668,55050414428.6931
2008-10-01,19381392383.7856,19325777132.8901,55310209143.9219,54878488013.3489
2008-11-01,19206053054.4224,19242956988.3557,54786781941.3128,54706561598.0046
